Model,Accuracy,Precision,Recall,F1 Score
Final Decision Tree,0.7486985328916232,0.5182926829268293,0.7575757575757576,0.6154960173787111
Tuned Decision Tree,0.7415996213913867,0.5087514585764294,0.7771836007130125,0.614950634696756
Logistic Regression,0.7425461429247515,0.5096921322690992,0.7967914438502673,0.6216968011126565
